title,decade
Resurrection of Eve,1970s
Return from Witch Mountain,1970s
Return to Boggy Creek,1970s
Return to Earth (film),1970s
Revenge of the Pink Panther,1970s
Ride a Wild Pony,1970s
Rio Lobo,1970s
Ripped Off,1970s
Rivals (1972 film),1970s
Robin and Marian,1970s
Rock 'n' Roll High School,1970s
Rocky,1970s
Rocky II,1970s
Roller Boogie,1970s
Rollerball (1975 film),1970s
Rollercoaster (1977 film),1970s
Rolling Man,1970s
Rolling Thunder (film),1970s
Rooster Cogburn (film),1970s
Rosebud (1975 film),1970s
Ruby (1977 film),1970s
"Run, Cougar, Run",1970s
"Run, Simon, Run",1970s
S*P*Y*S,1970s
S.O.S. Titanic,1970s
SST: Death Flight,1970s
Saint Jack (film),1970s
Salty (film),1970s
"Same Time, Next Year (film)",1970s
Santa and the Ice Cream Bunny,1970s
Santee (film),1970s
Sarah T. – Portrait of a Teenage Alcoholic,1970s
"Sasquatch, the Legend of Bigfoot",1970s
Satan War,1970s
Satan's Cheerleaders,1970s
Satan's School for Girls (1973 film),1970s
Satan's Triangle,1970s
Saturday Night Fever,1970s
